index,name,coord_x,coord_y,price,partNumber,unitOfMeasure,owner_name,owner_height,owner_weight,owner_location_x,owner_location_y,owner_locationz
100,cheese,859,540,215.6,DmLBuEtMqMmQJm,KILOGRAMS,Elfreda,149.44,840.55,293,815,153
101,milk,498,729,209.31,lwbzjCstoNvWKk,CENTIMETERS,Janenna,252,812.35,85,491,417
102,kolbasa,629,643,581.73,QLAwRTWSHDzMHPpf,KILOGRAMS,Merrie,11.69,708.31,135,58,93
103,kolbasa,267,299,77.69,bhXEJGFYlUajyua,GRAMS,Henriette,828.62,665.11,691,971,395
104,milk,810,396,939.76,MdXudWNXXlzzxxA,GRAMS,Helena,913.72,693.69,993,498,41
105,kolbasa,353,749,216.53,XvbRumJyaKbSFlBK,KILOGRAMS,Rhoda,681.14,125.15,584,565,181
106,meat,171,605,164.96,RCtZKqmDcehAuGl,KILOGRAMS,Margette,229.67,773.27,611,539,810
107,kolbasa,157,876,781.97,bFBcPdytYFluqn,CENTIMETERS,Caryl,677.26,975.62,906,379,236
108,meat,623,803,446.93,jkLHTeaCmCFanFG,KILOGRAMS,Margalo,294.5,736.66,502,818,697
109,cheese,617,171,213.64,sJWaWDnlPokjpPw,LITERS,Bettine,836.62,510.82,610,396,188
110,cheese,937,182,629.8,yGiiEtqXnoXfBI,GRAMS,Regina,838.66,72.97,688,610,517
111,cheese,549,457,410.37,rLzphHCfLkdUXBLn,LITERS,Cherrita,827.99,498.49,18,224,337
112,milk,94,99,484.49,pTnekGZLScmgDqy,LITERS,Meg,196.18,459.42,497,375,867
113,cheese,982,510,317.14,WeiELPJFKKcTCnV,LITERS,Kaia,283.59,347.55,543,885,804
114,kolbasa,854,96,842.51,uTDuYuWFNpCJNzCo,CENTIMETERS,Odessa,162.61,307.78,466,76,581
115,cheese,145,294,305.63,abMXkfBipuRed,CENTIMETERS,Annecorinne,731.96,59.39,818,648,235
