index,name,coord_x,coord_y,price,partNumber,unitOfMeasure,owner_name,owner_height,owner_weight,owner_location_x,owner_location_y,owner_locationz
100,milk,880,539,716.55,npHzolZyclcmrF,LITERS,Marguerite,91.1,984.13,399,529,767
101,kolbasa,322,467,95.68,vRxoMumuDBIXXkl,KILOGRAMS,Steffane,820.27,114.36,196,21,531
102,kolbasa,743,71,475.91,yQXSkUdnLywNEpR,GRAMS,Debee,530.27,233.96,805,896,903
103,kolbasa,256,968,678.71,xEgSXxiZrQBaiz,KILOGRAMS,Shandie,799.11,549.82,748,642,641
104,kolbasa,5,-97,802.4,jOQMZQoBereiH,KILOGRAMS,Chastity,649.49,701.31,858,390,648
105,cheese,863,280,489.14,GoBgLwihhUJwEnrR,CENTIMETERS,Taffy,463.52,673.61,835,58,175
106,milk,227,-136,526.39,mTKvkzKGZdRKp,LITERS,Ebonee,624.29,278.44,716,133,880
107,meat,868,193,836.7,JeLGgDNyGVdpwRJ,CENTIMETERS,Nanete,955.8,774.95,29,343,30
108,meat,770,-3,303.28,DCKAWWgDnKxma,GRAMS,Elora,212.81,200.03,635,413,938
109,meat,429,404,586.35,OFQsvOfHHpczE,KILOGRAMS,Aili,529.32,80.63,175,258,326
110,cheese,676,494,601.41,vSBPPVrcSGdsizKl,CENTIMETERS,Dede,538.33,254.26,465,982,363
111,meat,794,307,179.42,FeDXwvAbgOhBT,GRAMS,Shell,237.94,839.87,487,468,432
112,cheese,549,932,443.61,qWoYMkjhrCsLIX,KILOGRAMS,Gusella,72.55,12.91,743,847,955
113,meat,812,115,377.7,ieeFmPbMEBqvNo,CENTIMETERS,Kate,970,333.5,973,912,413
114,kolbasa,127,848,96.54,eJIIIuKixtjIJ,GRAMS,Kimmy,607.1,797.1,345,475,436
115,milk,446,-21,392.14,fiIdWXvvdWAVhUCa,GRAMS,Stevana,934.91,463.37,124,118,407
