index,name,coord_x,coord_y,price,partNumber,unitOfMeasure,owner_name,owner_height,owner_weight,owner_location_x,owner_location_y,owner_locationz
100,kolbasa,220,329,457.98,LvSrKHnGUXfpv,CENTIMETERS,Gale,277.33,596.3,979,934,997
101,cheese,981,700,910.26,jqDFGvBMAJhwJG,LITERS,Hayley,766.55,562.71,328,304,464
102,cheese,695,-14,539.93,fOYBwIUXLCKMw,LITERS,Eugine,848.6,604.27,970,929,552
103,milk,619,482,857.62,fKqziMYSCZfAWW,CENTIMETERS,Bobbi,289.44,280.72,168,719,911
104,cheese,259,984,724.61,xjPDDMkoewypd,KILOGRAMS,Micheline,686.08,335.57,666,206,125
105,cheese,766,240,280.11,jkMOGgdxARUkDxq,CENTIMETERS,Pollyanna,818.78,91.76,347,86,823
106,meat,798,798,330.23,DPPmTYrdNWndclTK,CENTIMETERS,Bee,202.6,263.82,812,436,851
107,meat,506,-39,596.88,GJdJXzLQGsGtF,LITERS,Elora,448.78,351.57,941,551,904
108,meat,333,702,89.11,UreNvgRQGYWPs,LITERS,Lesly,932.57,384.42,608,975,932
109,milk,395,-57,66.77,maygFWRXashGe,KILOGRAMS,Donnie,447.6,223.58,565,47,280
110,milk,881,563,377.84,HtSgxYFaaZHURcb,GRAMS,Dorene,658.54,204.44,703,128,955
111,milk,504,930,437.29,fuztTQCSDPkrLsV,CENTIMETERS,Tatiania,870.38,600.49,582,183,61
112,kolbasa,548,-14,361.39,aIkwXOjYRpUpxI,KILOGRAMS,Monika,322.26,567.63,316,716,810
113,milk,871,790,761.28,MunXZGrHiTktOEpA,LITERS,Mureil,578.37,736.9,952,786,152
114,cheese,707,701,754.98,HOvZZWItTGZlNOh,GRAMS,Dacia,334.81,320.12,223,626,973
115,kolbasa,138,509,511.52,nkgDqmkVNqliQBJn,LITERS,Mireielle,814.07,323.37,937,543,54
