index,name,coord_x,coord_y,price,partNumber,unitOfMeasure,owner_name,owner_height,owner_weight,owner_location_x,owner_location_y,owner_locationz
100,milk,848,955,142.15,qIeoZBKMiqKmd,KILOGRAMS,Myrtice,997.86,484.05,280,364,521
101,cheese,847,696,438.31,fhObsdALXWJYi,GRAMS,Maye,623.8,284.42,899,724,396
102,cheese,312,964,59.98,HHaYlNDZBMant,LITERS,Drucie,980.23,666.65,473,772,321
103,cheese,86,957,496.44,NeqaomKWIJimNmmZ,LITERS,Laure,435.32,10.69,701,951,711
104,kolbasa,245,-102,973.29,UzFgVXkJUTSeFq,KILOGRAMS,Binny,826.3,889.68,112,94,541
105,kolbasa,657,494,666.6,jYpuxbgNLwzrZMY,KILOGRAMS,Danika,750.23,463.51,714,899,363
106,kolbasa,983,11,793.07,NNGJUrVAheejo,GRAMS,Patricia,811.54,203.21,674,769,602
107,cheese,53,612,236.09,WvirVHubuEYGiJ,GRAMS,Leeanne,426.77,819.91,476,143,652
108,kolbasa,318,694,64.33,bGUInlFBnLTzJUh,LITERS,Carly,261.34,393.68,117,174,388
109,milk,54,89,909.22,gBcylojUKeYWhq,KILOGRAMS,Leanna,693.87,447.65,609,522,852
110,cheese,983,917,743.5,OvTVYBCYGcpSCh,LITERS,Gavrielle,529.13,618.62,438,652,761
111,kolbasa,251,779,498.41,mIwEJtsaosiMLU,GRAMS,Sean,601.51,426.91,494,691,549
112,meat,553,937,424.33,EAGjEgUlpKkMMnz,KILOGRAMS,Peri,868.62,454.48,474,349,236
113,meat,238,930,63.08,gJpuhurTHQqOr,GRAMS,Basia,930.1,74.5,134,702,58
114,cheese,891,293,890.62,ElZuwTLKPtPWckqW,LITERS,Kathy,739.92,859.9,474,60,98
115,meat,174,-117,202.87,EyfjIUBbFIlUPVL,GRAMS,Tani,942.69,11.3,371,617,25
