index,name,coord_x,coord_y,price,partNumber,unitOfMeasure,owner_name,owner_height,owner_weight,owner_location_x,owner_location_y,owner_locationz
100,kolbasa,275,472,315.66,KDgHnSBbKoKUTAYh,LITERS,Lynde,360.75,690.96,827,879,521
101,meat,219,269,826.83,neaVMJMMbDoZGij,CENTIMETERS,Elise,535.43,608.43,868,115,104
102,kolbasa,309,245,632.91,UBDhBfoxjSCqosem,KILOGRAMS,Zondra,645.13,390.37,386,142,565
103,milk,576,-34,121.64,lLpyFAlzXtBmNeT,LITERS,Kaia,297.56,21.43,746,606,472
104,meat,547,-119,164.58,wfOjtBuIhQsjyQ,KILOGRAMS,Lyssa,183.98,720.43,511,638,300
105,kolbasa,633,514,616.31,WRHHPRaCYYvJfAcN,LITERS,Demetris,48.08,73.8,929,914,523
106,meat,822,376,353.02,hNivvSNFKEUYoD,CENTIMETERS,Anestassia,945.66,858.73,528,481,157
107,meat,894,668,740.1,xMnHHoAYahVtdeFX,KILOGRAMS,Stevana,825.84,794.27,6,519,880
108,meat,500,640,877.64,bHYNAbnuhQnUmA,CENTIMETERS,Rhea,654.68,821.29,770,305,315
109,meat,205,473,239.91,IVFwVdjYzmfKb,GRAMS,Shannah,842.04,258.82,496,467,736
110,cheese,839,683,532.18,LsQVURAgWxuwh,CENTIMETERS,Chloris,596.89,592.06,909,353,517
111,milk,489,925,971.62,prqQObJffKKSyXPE,LITERS,Tani,354.64,784.14,600,581,371
112,kolbasa,502,127,472.29,DBRnrggGUFuGWd,KILOGRAMS,Heddie,679.08,324.09,864,736,537
113,meat,159,195,390.72,BzDZuMrTqBLzBVtP,LITERS,Jackie,646.71,81.99,657,34,156
114,kolbasa,121,95,828.37,hRtkBjvmFBCmSvX,LITERS,Evaleen,271.48,426.77,988,185,571
115,meat,856,861,60.17,XaKImuUWnfSaDUlO,GRAMS,Desirae,444.96,375.81,600,14,135
