index,name,coord_x,coord_y,price,partNumber,unitOfMeasure,owner_name,owner_height,owner_weight,owner_location_x,owner_location_y,owner_locationz
100,meat,195,604,800.35,mefJoTaTvwOMqJk,GRAMS,Aaren,367.58,963.33,974,488,397
101,cheese,885,407,123.8,fzRPfitBikYpHYVU,CENTIMETERS,Fredericka,542.05,825.87,310,722,249
102,kolbasa,116,530,789.01,nrltaUUexoMeDOM,KILOGRAMS,Sean,54.08,978.1,156,474,556
103,milk,815,527,131.4,nAPpOkowwhrGT,CENTIMETERS,Berget,54.69,647.7,552,718,39
104,cheese,936,63,259.8,iRzggUVaNhiFNxv,CENTIMETERS,Joelly,349.31,634.09,233,882,67
105,meat,971,891,521.5,dbqOqwpaORNeT,KILOGRAMS,Rani,972.26,607.96,237,771,104
106,milk,222,90,798.65,ZxnbMbeiSyKqmTF,CENTIMETERS,Chandra,484.01,832.68,715,167,20
107,kolbasa,370,640,823.52,tXJtxxuMDYLLSQaD,CENTIMETERS,Bobbi,783.93,601.37,603,993,87
108,cheese,360,946,564.69,FqREWnDXdNifsz,CENTIMETERS,Lesly,755.39,856.91,60,139,510
109,meat,825,817,566.17,heEMHKDEbgUfyA,GRAMS,Lisette,567.48,495.13,986,619,137
110,milk,648,857,428.12,OeakBFVWRbkIVJS,KILOGRAMS,Gusty,319.04,661.9,885,244,463
111,kolbasa,156,345,139.32,zFnBZvYbEJHcK,LITERS,Eugine,615.34,573.54,953,782,673
112,cheese,155,437,930.8,zpeqBICYAeluDzB,LITERS,Bobinette,592.02,601.03,851,39,547
113,meat,620,593,940.96,CfZhBrNgUlkkabk,KILOGRAMS,Jenilee,201.17,998.1,844,871,910
114,meat,923,587,999.63,ylBSQSPvEYbZZXP,KILOGRAMS,Elvira,344.28,900.25,713,651,958
115,meat,612,40,632.58,DzIILEWnpuuvHhZf,LITERS,Chloris,662.16,283.5,529,775,537
