index,name,coord_x,coord_y,price,partNumber,unitOfMeasure,owner_name,owner_height,owner_weight,owner_location_x,owner_location_y,owner_locationz
100,meat,333,800,224.47,dTayLALJMWUeBGGB,CENTIMETERS,Latisha,138.77,745.53,719,208,693
101,cheese,38,0,628.98,nIGYASjvMiZFa,LITERS,Demetris,835.52,356.09,441,324,214
102,kolbasa,112,208,445.91,pAAoFjaRRcXvdIr,CENTIMETERS,Jaclyn,761.66,873.09,342,532,276
103,milk,772,77,102.47,FysdIUPDuMMpy,KILOGRAMS,Karlee,927.39,672.44,700,84,326
104,cheese,916,-126,775.34,KRQtGIpsWEjxWO,LITERS,Jobi,662.76,168.84,963,586,37
105,kolbasa,462,-6,218.53,qqkhSyfugvhNHDpS,LITERS,Anica,242.81,156.12,675,377,710
106,kolbasa,728,335,817.69,btntEAEaQfaMaU,GRAMS,Mahalia,212.62,107.12,278,309,766
107,milk,686,328,386.48,VzYvrgDNhnBjZtms,LITERS,Malina,171.08,992.17,754,673,81
108,cheese,45,725,835.74,TiZAzNltFKLgJa,LITERS,Sheelagh,829.69,146.16,648,919,59
109,cheese,114,325,253.86,ZpOQMmnuCfBjbn,LITERS,Kial,58.56,54.7,828,181,52
110,cheese,341,373,647.4,kNQSTYzJmdUvCfjs,LITERS,Kimmy,837.85,704.23,976,650,355
111,milk,757,375,200.94,SpLpUDAmFRcsEHF,KILOGRAMS,Claresta,569.33,877.28,326,351,655
112,cheese,924,280,820.39,HYlcpksCAWcGSI,LITERS,Quintina,425,315.6,365,684,479
113,kolbasa,868,157,393.93,EVRntIRByFeba,GRAMS,Caritta,912.49,572.35,184,166,230
114,meat,39,251,515.53,ILWgXviiPZvpiTy,LITERS,Lily,325.61,244.86,761,572,920
115,milk,387,157,225.96,KPSutgaQaSFvHbj,KILOGRAMS,Oralee,359.78,250.35,312,332,880
